"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Publisher","Document Type","Open Access","Source"
"Ren W.; Qu Y.; Pei J.; Xiao L.; Zhang S.; Chang S.; Smith Z.J.; Xu R.X.","Ren, Wenqi (56081034200); Qu, Yingjie (57189626740); Pei, Jiaojiao (56701843200); Xiao, Linlin (57189624097); Zhang, Shiwu (55186256000); Chang, Shufang (36445368300); Smith, Zachary J. (8648231100); Xu, Ronald X. (56984933900)","56081034200; 57189626740; 56701843200; 57189624097; 55186256000; 36445368300; 8648231100; 56984933900","In vivo detection of cervical intraepithelial neoplasia by multimodal colposcopy","2016","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","9701","","97010E","","","","10.1117/12.2212194","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973489700&doi=10.1117%2f12.2212194&partnerID=40&md5=41f2631752d2c580f15e1d4932b6788b","Cervical cancer is the leading cause of cancer death for women in developing countries. Colposcopy plays an important role in early screening and detection of cervical intraepithelial neoplasia (CIN). In this paper, we developed a multimodal colposcopy system that combines multispectral reflectance, autofluorescence, and RGB imaging for in vivo detection of CIN, which is capable of dynamically recording multimodal data of the same region of interest (ROI). We studied the optical properties of cervical tissue to determine multi-wavelengths for different imaging modalities. Advanced algorithms based on the second derivative spectrum and the fluorescence intensity were developed to differentiate cervical tissue into two categories: squamous normal (SN) and high grade (HG) dysplasia. In the results, the kinetics of cervical reflectance and autofluorescence characteristics pre and post acetic acid application were observed and analyzed, and the image segmentation revealed good consistency with the gold standard of histopathology. Our pilot study demonstrated the clinical potential of this multimodal colposcopic system for in vivo detection of cervical cancer. © 2016 SPIE.","SPIE","Conference paper","","Scopus"
"Xia W.; West S.J.; Nikitichev D.I.; Ourselin S.; Beard P.C.; Desjardins A.E.","Xia, Wenfeng (36337500900); West, Simeon J. (55820371500); Nikitichev, Daniil I. (57188642825); Ourselin, Sebastien (6602233595); Beard, Paul C. (7006238023); Desjardins, Adrien E. (57204519454)","36337500900; 55820371500; 57188642825; 6602233595; 7006238023; 57204519454","Interventional multispectral photoacoustic imaging with a clinical linear array ultrasound probe for guiding nerve blocks","2016","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","9708","","97080C","","","","10.1117/12.2209047","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975092152&doi=10.1117%2f12.2209047&partnerID=40&md5=7bdf5f88209bc3fb5b42ffe1688861d2","Accurate identification of tissue structures such as nerves and blood vessels is critically important for interventional procedures such as nerve blocks. Ultrasound imaging is widely used as a guidance modality to visualize anatomical structures in real-time. However, identification of nerves and small blood vessels can be very challenging, and accidental intra-neural or intra-vascular injections can result in significant complications. Multi-spectral photoacoustic imaging can provide high sensitivity and specificity for discriminating hemoglobin-and lipid-rich tissues. However, conventional surface-illumination-based photoacoustic systems suffer from limited sensitivity at large depths. In this study, for the first time, an interventional multispectral photoacoustic imaging (IMPA) system was used to image nerves in a swine model in vivo. Pulsed excitation light with wavelengths in the ranges of 750-900 nm and 1150-1300 nm was delivered inside the body through an optical fiber positioned within the cannula of an injection needle. Ultrasound waves were received at the tissue surface using a clinical linear array imaging probe. Co-registered B-mode ultrasound images were acquired using the same imaging probe. Nerve identification was performed using a combination of B-mode ultrasound imaging and electrical stimulation. Using a linear model, spectral-unmixing of the photoacoustic data was performed to provide image contrast for oxygenated and de-oxygenated hemoglobin, water and lipids. Good correspondence between a known nerve location and a lipid-rich region in the photoacoustic images was observed. The results indicate that IMPA is a promising modality for guiding nerve blocks and other interventional procedures. Challenges involved with clinical translation are discussed. © 2016 SPIE.","SPIE","Conference paper","All Open Access; Green Open Access","Scopus"
"Zarei N.; Cox D.; Lane P.; Cantor S.; Atkinson N.; Yamal J.-M.; Fradkin L.; Serachitopol D.; Lam S.; Niekerk D.; Miller D.; McAlpine J.; Castaneda K.; Castaneda F.; Follen M.; MacAulay C.","Zarei, Nilgoon (57188830564); Cox, Dennis (57203643570); Lane, Pierre (7202980331); Cantor, Scott (7006009273); Atkinson, Neely (54391526600); Yamal, Jose-Miguel (36706912600); Fradkin, Leonid (13104963300); Serachitopol, Daniel (6506313272); Lam, Sylvia (37098899900); Niekerk, Dirk (6603368219); Miller, Dianne (55413424800); McAlpine, Jessica (7004413662); Castaneda, Kayla (57190598173); Castaneda, Felipe (57193807170); Follen, Michele (7004966960); MacAulay, Calum (35370099900)","57188830564; 57203643570; 7202980331; 7006009273; 54391526600; 36706912600; 13104963300; 6506313272; 37098899900; 6603368219; 55413424800; 7004413662; 57190598173; 57193807170; 7004966960; 35370099900","Boosted tree classifier for in vivo identification of early cervical cancer using multispectral digital colposcopy","2017","BIOIMAGING 2017 - 4th International Conference on Bioimaging, Proceedings; Part of 10th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2017","2017-January","","","85","91","6","10.5220/0006148900850091","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049249724&doi=10.5220%2f0006148900850091&partnerID=40&md5=b969c913e981251c793e0c8e8a0eeb61","Background: Cervical cancer develops over several years; screening and early diagnosis have decreased the incidence and mortality threefold over the last fifty years. Opportunities for the application of imaging and automation in the screening process exist in settings where resources are limited. Methods: Patients with high-grade squamous intraepithelial lesions (SIL) underwent imaging with a Multispectral Digital Colposcopy (MDC) prior to have a loop excision of the cervix. The image taken with white light was annotated by a clinician. The excised specimen was mapped by the study histopathologist blinded to the MDC data. This map was used to define areas of high grade in the excised tissue. Eleven reviewers mapped the histopathologic data into the MDC images. The reviewers’ maps were analyzed and areas of agreement were calculated. We compared the result of a boosted tree classifier with a previously developed ensemble classifier. Results: Using a boosted tree classifier we obtained a sensitivity of 95%, a specificity of 96%, and an accuracy of 96% on the training sets. When we applied the classifier to a test set, we obtained a sensitivity of 82%, a specificity of 81%, and an accuracy of 81%. The boosted tree classifier performed better than the previously developed ensemble classifier. Conclusion: Here we presented promising results which show that a boosted tree analysis on MDC images is a method that could be used as an adjunct to colposcopy and would result in greater diagnostic accuracy compared to existing methods. Copyright © 2017 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved","SciTePress","Conference paper","All Open Access; Hybrid Gold Open Access","Scopus"
"Luthman A.S.; Dumitru S.; Quirós-Gonzalez I.; Bohndiek S.E.","Luthman, A. Siri (56607257300); Dumitru, Sebastian (57206845084); Quirós-Gonzalez, Isabel (36703206500); Bohndiek, Sarah E. (16311545900)","56607257300; 57206845084; 36703206500; 16311545900","Hyperspectral fluorescence imaging with multi wavelength LED excitation","2016","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","9711","","971111","","","","10.1117/12.2210855","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978471369&doi=10.1117%2f12.2210855&partnerID=40&md5=96a7e1b144dee40f38421128fdf46ce9","Hyperspectral imaging (HSI) can combine morphological and molecular information, yielding potential for real-time and high throughput multiplexed fluorescent contrast agent imaging. Multiplexed readout from targets, such as cell surface receptors overexpressed in cancer cells, could improve both sensitivity and specificity of tumor identification. There remains, however, a need for compact and cost effective implementations of the technology. We have implemented a low-cost wide-field multiplexed fluorescence imaging system, which combines LED excitation at 590, 655 and 740 nm with a compact commercial solid state HSI system operating in the range 600-1000 nm. A key challenge for using reflectance-based HSI is the separation of contrast agent fluorescence from the reflectance of the excitation light. Here, we illustrate how it is possible to address this challenge in software, using two offline reflectance removal methods, prior to least-squares spectral unmixing. We made a quantitative comparison of the methods using data acquired from dilutions of contrast agents prepared in well-plates. We then established the capability of our HSI system for non-invasive in vivo fluorescence imaging in small animals using the optimal reflectance removal method. The HSI presented here enables quantitative unmixing of at least four fluorescent contrast agents (Alexa Fluor 610, 647, 700 and 750) simultaneously in living mice. A successful unmixing of the four fluorescent contrast agents was possible both using the pure contrast agents and with mixtures. The system could in principle also be applied to imaging of ex vivo tissue or intraoperative imaging in a clinical setting. These data suggest a promising approach for developing clinical applications of HSI based on multiplexed fluorescence contrast agent imaging. © 2016 SPIE.","SPIE","Conference paper","","Scopus"
"Dong X.; Wei C.; Chen H.; Qin J.; Liang J.; Kong D.; Liu T.; Lv F.","Dong, Xia (56957465700); Wei, Chang (56957516400); Chen, Hongli (56074247300); Qin, Jingwen (56984988900); Liang, Jie (57191956447); Kong, Deling (35275159200); Liu, Tianjun (55837296700); Lv, Feng (41261885300)","56957465700; 56957516400; 56074247300; 56984988900; 57191956447; 35275159200; 55837296700; 41261885300","Real-Time Imaging Tracking of a Dual Fluorescent Drug Delivery System Based on Zinc Phthalocyanine-Incorporated Hydrogel","2016","ACS Biomaterials Science and Engineering","2","11","","2001","2010","9","10.1021/acsbiomaterials.6b00403","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995514638&doi=10.1021%2facsbiomaterials.6b00403&partnerID=40&md5=7479f505f959b4f66918cc6e02eb6f1e","Real-time tracking of a drug delivery system and its therapeutic effects in vivo are crucial to designing a novel pharmaceutical system and revealing the mechanism of drug therapy. Multispectral fluorescence imaging can locate the drug and carrier simultaneously without interference. This advanced method enables the tracking of a drug delivery system. Herein, a doxorubicin (Dox) loaded zinc phthalocyanine incorporated hydrogel was developed as a dual fluorescent drug delivery system to monitor the release of the drug and the degradation of the carrier. An injectable thermosensitive hydrogel based on a four-arm poly(ethylene glycol) (PEG)-poly(Îμ -Caprolactone) (PCL) copolymer was prepared and characterized with a zinc phthalocyanine core as the drug carrier. The hydrogel degradation and drug delivery in vivo were tracked by a multispectral fluorescence imaging system in nude mice bearing hepatic tumors. Moreover, the real-time tumor inhibition progress was tracked in vivo for 18 days by bioluminescence imaging. A multispectral analysis can separate the fluorescence signals from the drug and carrier in the Dox loaded hydrogel and provide their location in the tumor tissue. The drug release and hydrogel degradation can be drastically tracked respectively without mutual interference. The fluorescence imaging results reveal improved tumor inhibitory effects of the Dox loaded hydrogel. Optical imaging allows for visible tracking of the entire drug delivery process. The Dox loaded phthalocyanine incorporated thermosensitive hydrogel is a potential visible drug delivery system for tumor therapy. © 2016 American Chemical Society.","American Chemical Society","Article","","Scopus"
"Ke K.; Yang W.; Xie X.; Liu R.; Wang L.-L.; Lin W.-W.; Huang G.; Lu C.-H.; Yang H.-H.","Ke, Kaimei (56026832500); Yang, Wen (57194438788); Xie, Xiaoli (57196197207); Liu, Rui (57217752976); Wang, Li-Li (57201122973); Lin, Wei-Wen (57195636041); Huang, Guoming (23024716000); Lu, Chun-Hua (57145506600); Yang, Huang-Hao (35254722300)","56026832500; 57194438788; 57196197207; 57217752976; 57201122973; 57195636041; 23024716000; 57145506600; 35254722300","Copper manganese sulfide nanoplates: A new two-dimensional theranostic nanoplatform for MRI/MSOT dual-modal imaging-guided photothermal therapy in the second near-infrared window","2017","Theranostics","7","19","","4763","4776","13","10.7150/thno.21694","72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032201207&doi=10.7150%2fthno.21694&partnerID=40&md5=1f61370e65d9f9308313b5c422251f70","Multifunctional nanoplatforms with integrated diagnostic and therapeutic functions have attracted tremendous attention. Especially, the second near-infrared (NIR-II) light response-based nanoplatforms hold great potential in cancer theranostic applications, which is because the NIR-II window provides larger tissue penetration depth and higher maximum permissible exposure (MPE) than that of the well-studied first near-infrared (NIR-I) window. Herein, we for the first time present a two-dimensional (2D)-nanoplatform based on Cu2MnS2 nanoplates (NPs) for magnetic resonance imaging (MRI)/multispectral optoacoustic tomography (MSOT) dual-modal imaging-guided photothermal therapy (PTT) of cancer in the NIR-II window. Methods: Cu2MnS2 NPs were synthesized through a facile and environmentally friendly process. A series of experiments, including the characterization of Cu2MnS2 NPs, the long-term toxicity of Cu2MnS2 NPs in BALB/c nude mice, the applications of Cu2MnS2 NPs for in vitro and in vivo MRI/MSOT dual-modal imaging and NIR-II PTT of cancer were carried out. Results: The as-synthesized Cu2MnS2 NPs exhibit low cytotoxicity, excellent biocompatibility as well as high photothermal conversion efficiency (~49.38%) and outstanding photostability. Together with their good T1-shortening effect and strong absorbance in the NIR-I and NIR-II region, the Cu2MnS2 NPs display high-contrast imaging performance both in MRI and MSOT (900 nm laser source). Moreover, the subsequent in vitro and in vivo results demonstrate that the Cu2MnS2 NPs possess excellent PTT efficacy under 1064 nm laser irradiation with a low power density (0.6 W cm-2). In addition, the detailed long-term toxicity studies further confirming the safety of Cu2MnS2 NPs in vivo. Conclusion: We have developed a new 2D Cu2MnS2 NPs as multifunctional theranostic agents for MRI/MSOT dual-modal imaging-guided PTT of cancer in the NIR-II window. Such biocompatible Cu2MnS2 NPs might provide a new perspective for exploring new 2D-based nanoplatforms with improved properties for clinical applications in the future. © Ivyspring International Publisher.","Ivyspring International Publisher","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Sava Gallis D.F.; Rohwer L.E.S.; Rodriguez M.A.; Barnhart-Dailey M.C.; Butler K.S.; Luk T.S.; Timlin J.A.; Chapman K.W.","Sava Gallis, Dorina F. (56157150000); Rohwer, Lauren E. S. (6506459795); Rodriguez, Mark A. (7404258303); Barnhart-Dailey, Meghan C. (55189504200); Butler, Kimberly S. (16205862400); Luk, Ting S. (7003539062); Timlin, Jerilyn A. (57216641545); Chapman, Karena W. (34976315900)","56157150000; 6506459795; 7404258303; 55189504200; 16205862400; 7003539062; 57216641545; 34976315900","Multifunctional, Tunable Metal-Organic Framework Materials Platform for Bioimaging Applications","2017","ACS Applied Materials and Interfaces","9","27","","22268","22277","9","10.1021/acsami.7b05859","108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024132543&doi=10.1021%2facsami.7b05859&partnerID=40&md5=a74d945de072110d128387c88b435309","Herein, we describe a novel multifunctional metal-organic framework (MOF) materials platform that displays both porosity and tunable emission properties as a function of the metal identity (Eu, Nd, and tuned compositions of Nd/Yb). Their emission collectively spans the deep red to near-infrared (NIR) spectral region (∼614-1350 nm), which is highly relevant for in vivo bioimaging. These new materials meet important prerequisites as relevant to biological processes: they are minimally toxic to living cells and retain structural integrity in water and phosphate-buffered saline. To assess their viability as optical bioimaging agents, we successfully synthesized the nanoscale Eu analog as a proof-of-concept system in this series. In vitro studies show that it is cell-permeable in individual RAW 264.7 mouse macrophage and HeLa human cervical cancer tissue culture cells. The efficient discrimination between the Eu emission and cell autofluorescence was achieved with hyperspectral confocal fluorescence microscopy, used here for the first time to characterize MOF materials. Importantly, this is the first report that documents the long-term conservation of the intrinsic emission in live cells of a fluorophore-based MOF to date (up to 48 h). This finding, in conjunction with the materials' very low toxicity, validates the biocompatibility in these systems and qualifies them as promising for use in long-term tracking and biodistribution studies. © 2017 American Chemical Society.","American Chemical Society","Article","All Open Access; Green Open Access","Scopus"
"Peña M.P.S.; Gottipati A.; Tahiliani S.; Neu-Baker N.M.; Frame M.D.; Friedman A.J.; Brenner S.A.","Peña, María Del Pilar Sosa (56924599600); Gottipati, Abhishek (55446231900); Tahiliani, Sahil (56490996200); Neu-Baker, Nicole M. (56429718100); Frame, Mary D. (7102072804); Friedman, Adam J. (7401879723); Brenner, Sara A. (35602874400)","56924599600; 55446231900; 56490996200; 56429718100; 7102072804; 7401879723; 35602874400","Hyperspectral imaging of nanoparticles in biological samples: Simultaneous visualization and elemental identification","2016","Microscopy Research and Technique","79","5","","349","358","9","10.1002/jemt.22637","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958225166&doi=10.1002%2fjemt.22637&partnerID=40&md5=0f3efae4f2997a1b11f55af2ebcc6ec7","While engineered nanomaterials (ENMs) are increasingly incorporated into industrial processes and consumer products, the potential biological effects and health outcomes of exposure remain unknown. Novel advanced direct visualization techniques that require less time, cost, and resource investment than electron microscopy (EM) are needed for identifying and locating ENMs in biological samples. Hyperspectral imaging (HSI) combines spectrophotometry and imaging, using advanced optics and algorithms to capture a spectrum from 400 to 1000 nm at each pixel in an enhanced dark-field microscopic (EDFM) image. HSI-EDFM can be used to confirm the identity of the materials of interest in a sample and generate an image ""mapping"" their presence and location in a sample. Hyperspectral mapping is particularly important for biological samples, where ENM morphology is visually indistinct from surrounding tissue structures. While use of HSI (without mapping) is increasing, no studies to date have compared results from hyperspectral mapping with conventional methods. Thus, the objective of this study was to utilize EDFM-HSI to locate, identify, and map metal oxide ENMs in ex vivo histological porcine skin tissues, a toxicological model of cutaneous exposure, and compare findings with those of Raman spectroscopy (RS), energy-dispersive X-ray spectroscopy (EDS), and scanning electron microscopy (SEM). Results demonstrate that EDFM-HSI mapping is capable of locating and identifying ENMs in tissue, as confirmed by conventional methods. This study serves as initial confirmation of EDFM-HSI mapping as a novel and higher throughput technique for ENM identification in biological samples, and serves as the basis for further protocol development utilizing EDFM-HSI for semiquantitation of ENMs. Microsc. Res. Tech. 79:349-358, 2016. © 2016 Wiley Periodicals, Inc.","Wiley-Liss Inc.","Article","","Scopus"
"Ovanesyan Z.; Mimun L.C.; Kumar G.A.; Yust B.G.; Dannangoda C.; Martirosyan K.S.; Sardar D.K.","Ovanesyan, Zaven (15821278400); Mimun, L. Christopher (35484899200); Kumar, Gangadharan Ajith (35597801500); Yust, Brian G. (35486407600); Dannangoda, Chamath (55320531600); Martirosyan, Karen S. (6602376134); Sardar, Dhiraj K. (7005088713)","15821278400; 35484899200; 35597801500; 35486407600; 55320531600; 6602376134; 7005088713","Depth-Resolved Multispectral Sub-Surface Imaging Using Multifunctional Upconversion Phosphors with Paramagnetic Properties","2015","ACS Applied Materials and Interfaces","7","38","","21465","21471","6","10.1021/acsami.5b06491","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942931905&doi=10.1021%2facsami.5b06491&partnerID=40&md5=bc70f1e70bc01eeb5bcce8119edda08b","Molecular imaging is very promising technique used for surgical guidance, which requires advancements related to properties of imaging agents and subsequent data retrieval methods from measured multispectral images. In this article, an upconversion material is introduced for subsurface near-infrared imaging and for the depth recovery of the material embedded below the biological tissue. The results confirm significant correlation between the analytical depth estimate of the material under the tissue and the measured ratio of emitted light from the material at two different wavelengths. Experiments with biological tissue samples demonstrate depth resolved imaging using the rare earth doped multifunctional phosphors. In vitro tests reveal no significant toxicity, whereas the magnetic measurements of the phosphors show that the particles are suitable as magnetic resonance imaging agents. The confocal imaging of fibroblast cells with these phosphors reveals their potential for in vivo imaging. The depth-resolved imaging technique with such phosphors has broad implications for real-time intraoperative surgical guidance. © 2015 American Chemical Society.","American Chemical Society","Article","All Open Access; Green Open Access","Scopus"
"Hoffmann S.; Caysa H.; Kuntsche J.; Kreideweiß P.; Leimert A.; Mueller T.; Mäder K.","Hoffmann, Stefan (57196755463); Caysa, Henrike (36600026400); Kuntsche, Judith (23978138800); Kreideweiß, Patrick (37030041500); Leimert, Anja (55618008900); Mueller, Thomas (57208371954); Mäder, Karsten (7005530663)","57196755463; 36600026400; 23978138800; 37030041500; 55618008900; 57208371954; 7005530663","Carbohydrate plasma expanders for passive tumor targeting: In vitro and in vivo studies","2013","Carbohydrate Polymers","95","1","","404","413","9","10.1016/j.carbpol.2013.03.033","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875388402&doi=10.1016%2fj.carbpol.2013.03.033&partnerID=40&md5=40d05d75daa3087d1ba989d3cc84a19f","The objective of this study was to investigate the suitability of carbohydrate plasma volume expanders as a novel polymer platform for tumor targeting. Many synthetic polymers have already been synthesized for targeted tumor therapy, but potential advantages of these carbohydrates include inexpensive synthesis, constant availability, a good safety profile, biodegradability and the long clinical use as plasma expanders. Three polymers have been tested for cytotoxicity and cytokine activation in cell cultures and conjugated with a near-infrared fluorescent dye: hydroxyethyl starches (HES 200 kDa and HES 450 kDa) and dextran (DEX 500 kDa). Particle size and molecular weight distribution were determined by asymmetric flow field-flow fractionation (AF4). The biodistribution was investigated non-invasively in nude mice using multispectral optical imaging. The most promising polymer conjugate was characterized in human colon carcinoma xenograft bearing nude mice. A tumor specific accumulation of HES 450 was observed, which proves it's potential as carrier for passive tumor targeting.","","Article","","Scopus"
"Krishnan R.; Arora R.P.; Alexander M.; White S.M.; Lamb M.W.; Foster C.E.; Choi B.; Lakey J.R.T.","Krishnan, Rahul (55897145200); Arora, Rajan P. (57197963726); Alexander, Michael (36142744600); White, Sean M. (41461911500); Lamb, Morgan W. (54581248000); Foster, Clarence E. (7401667406); Choi, Bernard (7402755227); Lakey, Jonathan R.T. (13310136000)","55897145200; 57197963726; 36142744600; 41461911500; 54581248000; 7401667406; 7402755227; 13310136000","Noninvasive evaluation of the vascular response to transplantation ofalginate encapsulated islets using the dorsal skin-fold model","2014","Biomaterials","35","3","","891","898","7","10.1016/j.biomaterials.2013.10.012","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887622449&doi=10.1016%2fj.biomaterials.2013.10.012&partnerID=40&md5=cdc475d26250d56fe48b57b268625f53","Alginate encapsulation reduces the risk of transplant rejection by evading immune-mediated cell injury and rejection; however, poor vascular perfusion results in graft failure. Since existing imaging models are incapable of quantifying the vascular response to biomaterial implants after transplantation, in this study, we demonstrate the use of invivo laser speckle imaging (LSI) and wide-field functional imaging (WiFI) to monitor the microvascular environment surrounding biomaterial implants. The vascular response to two islet-containing biomaterial encapsulation devices, alginate microcapsules and a high-guluronate alginate sheet, was studied and compared after implantation into the mouse dorsal window chamber (N=4 per implant group). Images obtained over a 14-day period using LSI and WiFI were analyzed using algorithms to quantify blood flow, hemoglobin oxygen saturation and vascular density. Using our method, we were able to monitor the changes in the peri-implant microvasculature noninvasively without the use of fluorescent dyes. Significant changes in blood flow, hemoglobin oxygen saturation and vascular density were noted as early as the first week post-transplant. The dorsal window chamber model enables comparison of host responses to transplanted biomaterials. Future experiments will study the effect of changes in alginate composition on the vascular and immune responses. © 2013 Elsevier Ltd.","","Article","All Open Access; Green Open Access","Scopus"
"Saint-Cyr M.; Lakhiani C.; Cheng A.; Mangum M.; Liang J.; Teotia S.; Livingston E.H.; Zuzak K.J.","Saint-Cyr, Michel (16175809800); Lakhiani, Chrisovalantis (54984373300); Cheng, Angela (55173188300); Mangum, Michael (36628875000); Liang, Jinyang (35759354600); Teotia, Sumeet (7006067655); Livingston, Edward H. (7006243244); Zuzak, Karel J. (6505986432)","16175809800; 54984373300; 55173188300; 36628875000; 35759354600; 7006067655; 7006243244; 6505986432","In-vivo quantitative evaluation of perfusion zones and perfusion gradient in the deep inferior epigastric artery perforator flap","2013","Proceedings of SPIE - The International Society for Optical Engineering","8618","","861806","","","","10.1117/12.2004972","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878697373&doi=10.1117%2f12.2004972&partnerID=40&md5=fd14221914c4db8e97abfcb882f9580f","The selection of well-vascularized tissue during DIEP flap harvest remains controversial. While several studies have elucidated cross-midline perfusion, further characterization of perfusion to the ipsilateral hemiabdomen is necessary for minimizing rates of fat necrosis or partial fat necrosis in bilateral DIEP flaps. Eighteen patients (29 flaps) underwent DIEP flap harvest using a prospectively designed protocol. Perforators were marked and imaged with a novel system for quantitatively measuring tissue oxygenation, the Digital Light Hyperspectral Imager. Images were then analyzed to determine if perforator selection influenced ipsilateral flap perfusion. Flaps based on a single lateral row perforator (SLRP) were found to have a higher level of hemoglobin oxygenation in Zone I (mean %HbO2 = 76.1) compared to single medial row perforator (SMRP) flaps (%HbO2 = 71.6). Perfusion of Zone III relative to Zone I was similar between SLRP and SMRP flaps (97.4% vs. 97.9%, respectively). These differences were not statistically significant (p>0.05). Perfusion to the lateral edge of the flap was slightly greater for SLRP flaps compared SMRP flaps (92.1% vs. 89.5%, respectively). SMRP flaps had superior perfusion travelling inferiorly compared to SLRP flaps (88.8% vs. 83.9%, respectively). Overall, it was observed that flaps were better perfused in the lateral direction than inferiorly. Significant differences in perfusion gradients directed inferiorly or laterally were observed, and perforator selection influenced perfusion in the most distal or inferior aspects of the flap. This suggests broader clinical implications for flap design that merit further investigation. © 2013 SPIE.","","Conference paper","","Scopus"
"Cicchi R.; Sturiale A.; Nesi G.; Tonelli F.; Pavone F.S.","Cicchi, R. (8601232900); Sturiale, A. (55180439000); Nesi, G. (7003760290); Tonelli, F. (7005987420); Pavone, F.S. (16448886200)","8601232900; 55180439000; 7003760290; 7005987420; 16448886200","Two-photon imaging and spectroscopy of fresh human colon biopsies","2012","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","8226","","82263S","","","","10.1117/12.907822","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859571587&doi=10.1117%2f12.907822&partnerID=40&md5=924959540412c8103067353bae7d5e1c","Two-photon fluorescence (TPEF) microscopy is a powerful tool to image human tissues up to 200 microns depth without any exogenously added probe. TPEF can take advantage of the autofluorescence of molecules intrinsically contained in a biological tissue, as such NADH, elastin, collagen, and flavins. Two-photon microscopy has been already successfully used to image several types of tissues, including skin, muscles, tendons, bladder. Nevertheless, its usefulness in imaging colon tissue has not been deeply investigated yet. In this work we have used combined two-photon excited fluorescence (TPEF), second harmonic generation microscopy (SHG), fluorescence lifetime imaging microscopy (FLIM), and multispectral two-photon emission detection (MTPE) to investigate different kinds of human ex-vivo fresh biopsies of colon. Morphological and spectroscopic analyses allowed to characterize both healthy mucosa, polyp, and colon samples in a good agreement with common routine histology. Even if further analysis, as well as a more significant statistics on a large number of samples would be helpful to discriminate between low, mild, and high grade cancer, our method is a promising tool to be used as diagnostic confirmation of histological results, as well as a diagnostic tool in a multiphoton endoscope or colonoscope to be used in in-vivo imaging applications. © 2012 Copyright Society of Photo-Optical Instrumentation Engineers (SPIE).","","Conference paper","","Scopus"
"","","","Multimodal Biomedical Imaging IX","2014","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","8937","","","","","190","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896792460&partnerID=40&md5=d7e548b0cc506e5eca3701fdb5e6d381","The proceedings contain 24 papers. The topics discussed include: a surgical navigation system for non-contact diffuse optical tomography and intraoperative cone-beam CT; multimodal confocal mosaics enable high sensitivity and specificity in screening of in situ squamous cell carcinoma; a simultaneous multimodal imaging system for tissue functional parameters; a parallel framework for simultaneous fNIRS/fMRI fusion; validation of temperature-modulated fluorescence tomography in vivo; one-step microencapulation of nanoparticles and perfluorocarbon in microbubbles for potential application in controlled activation; single snapshot RGB multispectral imaging at fixed wavelengths: proof of concept; microencapsulation of multiple components by compound-fluidic electro-flow focusing; a fast and effective reconstruction method for fluorescence molecular tomography based on sparsity adaptive subspace pursuit; and dental imaging using laminar optical tomography and micro CT.","","Conference review","","Scopus"
"Vasefi F.; Mackinnon N.; Farkas D.L.","Vasefi, Fartash (13105587500); Mackinnon, Nicholas (7004563421); Farkas, Daniel L. (7102077906)","13105587500; 7004563421; 7102077906","Toward in vivo diagnosis of skin cancer using multimode imaging dermoscopy: (II) molecular mapping of highly pigmented lesions","2014","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","8947","","89470J","","","","10.1117/12.2042182","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901814576&doi=10.1117%2f12.2042182&partnerID=40&md5=890c3a415485b6add2db655fe753fc94","We have developed a multimode imaging dermoscope that combines polarization and hyperspectral imaging with a computationally rapid analytical model. This approach employs specific spectral ranges of visible and near infrared wavelengths for mapping the distribution of specific skin bio-molecules. This corrects for the melanin-hemoglobin misestimation common to other systems, without resorting to complex and computationally intensive tissue optical models that are prone to inaccuracies due to over-modeling. Various human skin measurements including a melanocytic nevus, and venous occlusion conditions were investigated and compared with other ratiometric spectral imaging approaches. Access to the broad range of hyperspectral data in the visible and near-infrared range allows our algorithm to flexibly use different wavelength ranges for chromophore estimation while minimizing melanin-hemoglobin optical signature cross-talk. © 2014 SPIE.","SPIE","Conference paper","","Scopus"
