PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32135314","Multispectral autofluorescence dermoscope for skin lesion assessment","Romano RA, Teixeira Rosa RG, Salvio AG, Jo JA, Kurachi C.","Photodiagnosis Photodyn Ther. 2020 Jun;30:101704. doi: 10.1016/j.pdpdt.2020.101704. Epub 2020 Mar 2.","Romano RA","Photodiagnosis Photodyn Ther","2020","2020/03/06","PMC8299719","NIHMS1612199","10.1016/j.pdpdt.2020.101704"
"29745130","Intraoperative hyperspectral determination of human tissue properties","Wisotzky EL, Uecker FC, Arens P, Dommerich S, Hilsmann A, Eisert P.","J Biomed Opt. 2018 May;23(9):1-8. doi: 10.1117/1.JBO.23.9.091409.","Wisotzky EL","J Biomed Opt","2018","2018/05/11","","","10.1117/1.JBO.23.9.091409"
"22232073","Hyperspectral imaging of mucosal surfaces in patients","Gerstner AO, Laffers W, Bootz F, Farkas DL, Martin R, Bendix J, Thies B.","J Biophotonics. 2012 Mar;5(3):255-62. doi: 10.1002/jbio.201100081. Epub 2012 Jan 9.","Gerstner AO","J Biophotonics","2012","2012/01/11","","","10.1002/jbio.201100081"
"33097631","Optoacoustic Imaging of Glucagon-like Peptide-1 Receptor with a Near-Infrared Exendin-4 Analog","Roberts S, Khera E, Choi C, Navaratna T, Grimm J, Thurber GM, Reiner T.","J Nucl Med. 2021 Jun 1;62(6):839-848. doi: 10.2967/jnumed.120.252262. Epub 2020 Oct 23.","Roberts S","J Nucl Med","2021","2020/10/24","PMC8729860","","10.2967/jnumed.120.252262"
"34675228","Enhanced hyperspectral tomography for bioimaging by spatiospectral reconstruction","Warr R, Ametova E, Cernik RJ, Fardell G, Handschuh S, Jørgensen JS, Papoutsellis E, Pasca E, Withers PJ.","Sci Rep. 2021 Oct 21;11(1):20818. doi: 10.1038/s41598-021-00146-4.","Warr R","Sci Rep","2021","2021/10/22","PMC8531290","","10.1038/s41598-021-00146-4"
"35831360","Assessment of angle-dependent spectral distortion to develop accurate hyperspectral endoscopy","Lee J, Yoon J.","Sci Rep. 2022 Jul 13;12(1):11892. doi: 10.1038/s41598-022-16232-0.","Lee J","Sci Rep","2022","2022/07/13","PMC9279473","","10.1038/s41598-022-16232-0"
"20680057","High-speed multispectral fluorescence lifetime imaging implementation for in vivo applications","Shrestha S, Applegate BE, Park J, Xiao X, Pande P, Jo JA.","Opt Lett. 2010 Aug 1;35(15):2558-60. doi: 10.1364/OL.35.002558.","Shrestha S","Opt Lett","2010","2010/08/04","PMC4795163","NIHMS764720","10.1364/OL.35.002558"
"29389893","An Intraoperative Visualization System Using Hyperspectral Imaging to Aid in Brain Tumor Delineation","Fabelo H, Ortega S, Lazcano R, Madroñal D, M Callicó G, Juárez E, Salvador R, Bulters D, Bulstrode H, Szolna A, Piñeiro JF, Sosa C, J O'Shanahan A, Bisshopp S, Hernández M, Morera J, Ravi D, Kiran BR, Vega A, Báez-Quevedo A, Yang GZ, Stanciulescu B, Sarmiento R.","Sensors (Basel). 2018 Feb 1;18(2):430. doi: 10.3390/s18020430.","Fabelo H","Sensors (Basel)","2018","2018/02/02","PMC5856119","","10.3390/s18020430"
"31628961","Rapid, label-free detection of cerebral ischemia in rats using hyperspectral imaging","Fu C, Ma K, Li Z, Wang H, Chen T, Zhang D, Wang S, Mu N, Yang C, Zhao L, Gong S, Feng H, Li F.","J Neurosci Methods. 2020 Jan 1;329:108466. doi: 10.1016/j.jneumeth.2019.108466. Epub 2019 Oct 16.","Fu C","J Neurosci Methods","2020","2019/10/20","","","10.1016/j.jneumeth.2019.108466"
"30883910","3D-multi-spectral T(2) mapping near metal implants","Bhave S, Koff MF, Sivaram Kaushik S, Potter HG, Koch KM.","Magn Reson Med. 2019 Aug;82(2):614-621. doi: 10.1002/mrm.27744. Epub 2019 Mar 18.","Bhave S","Magn Reson Med","2019","2019/03/19","PMC6554714","NIHMS1015699","10.1002/mrm.27744"
"28001129","A multispectral microscope for in vivo oximetry of rat dorsal spinal cord vasculature","van der Putten MA, MacKenzie LE, Davies AL, Fernandez-Ramos J, Desai RA, Smith KJ, Harvey AR.","Physiol Meas. 2017 Feb;38(2):205-218. doi: 10.1088/1361-6579/aa5527. Epub 2016 Dec 21.","van der Putten MA","Physiol Meas","2017","2016/12/22","","","10.1088/1361-6579/aa5527"
"35755403","Pixel-level Tumor Margin Assessment of Surgical Specimen with Hyperspectral Imaging and Deep Learning Classification","Ma L, Shahedi M, Shi T, Halicek M, Little JV, Chen AY, Myers LL, Sumer BD, Fei B.","Proc SPIE Int Soc Opt Eng. 2021 Feb;11598:1159811. doi: 10.1117/12.2581046. Epub 2021 Feb 15.","Ma L","Proc SPIE Int Soc Opt Eng","2021","2022/06/27","PMC9232191","NIHMS1762466","10.1117/12.2581046"
"24633164","Novel advancements in colposcopy: historical perspectives and a systematic review of future developments","Adelman MR.","J Low Genit Tract Dis. 2014 Jul;18(3):246-60. doi: 10.1097/LGT.0b013e3182a72170.","Adelman MR","J Low Genit Tract Dis","2014","2014/03/18","","","10.1097/LGT.0b013e3182a72170"
"26359648","Quasi-simultaneous multimodal imaging of cutaneous tissue oxygenation and perfusion","Ren W, Gan Q, Wu Q, Zhang S, Xu R.","J Biomed Opt. 2015 Dec;20(12):121307. doi: 10.1117/1.JBO.20.12.121307.","Ren W","J Biomed Opt","2015","2015/09/12","","","10.1117/1.JBO.20.12.121307"
"33097705","Shortwave-infrared meso-patterned imaging enables label-free mapping of tissue water and lipid content","Zhao Y, Pilvar A, Tank A, Peterson H, Jiang J, Aster JC, Dumas JP, Pierce MC, Roblyer D.","Nat Commun. 2020 Oct 23;11(1):5355. doi: 10.1038/s41467-020-19128-7.","Zhao Y","Nat Commun","2020","2020/10/24","PMC7585425","","10.1038/s41467-020-19128-7"
"11673345","In vivo accuracy of multispectral magnetic resonance imaging for identifying lipid-rich necrotic cores and intraplaque hemorrhage in advanced human carotid plaques","Yuan C, Mitsumori LM, Ferguson MS, Polissar NL, Echelard D, Ortiz G, Small R, Davies JW, Kerwin WS, Hatsukami TS.","Circulation. 2001 Oct 23;104(17):2051-6. doi: 10.1161/hc4201.097839.","Yuan C","Circulation","2001","2001/10/24","","","10.1161/hc4201.097839"
"35991912","Clinical label-free endoscopic imaging of biochemical and metabolic autofluorescence biomarkers of benign, precancerous, and cancerous oral lesions","Duran-Sierra E, Cheng S, Cuenca R, Ahmed B, Ji J, Yakovlev VV, Martinez M, Al-Khalil M, Al-Enazi H, Jo JA.","Biomed Opt Express. 2022 Jun 2;13(7):3685-3698. doi: 10.1364/BOE.460081. eCollection 2022 Jul 1.","Duran-Sierra E","Biomed Opt Express","2022","2022/08/22","PMC9352301","","10.1364/BOE.460081"
"22263698","Dual fluorescent HPMA copolymers for passive tumor targeting with pH-sensitive drug release: synthesis and characterization of distribution and tumor accumulation in mice by noninvasive multispectral optical imaging","Hoffmann S, Vystrčilová L, Ulbrich K, Etrych T, Caysa H, Mueller T, Mäder K.","Biomacromolecules. 2012 Mar 12;13(3):652-63. doi: 10.1021/bm2015027. Epub 2012 Feb 10.","Hoffmann S","Biomacromolecules","2012","2012/01/24","","","10.1021/bm2015027"
"23736854","Optoacoustic imaging and tomography: reconstruction approaches and outstanding challenges in image performance and quantification","Lutzweiler C, Razansky D.","Sensors (Basel). 2013 Jun 4;13(6):7345-84. doi: 10.3390/s130607345.","Lutzweiler C","Sensors (Basel)","2013","2013/06/06","PMC3715274","","10.3390/s130607345"
"15565798","A hyperspectral imaging system for in vivo optical diagnostics. Hyperspectral imaging basic principles, instrumental systems, and applications of biomedical interest","Vo-Dinh T, Stokes DL, Wabuyele MB, Martin ME, Song JM, Jagannathan R, Michaud E, Lee RJ, Pan X.","IEEE Eng Med Biol Mag. 2004 Sep-Oct;23(5):40-9. doi: 10.1109/memb.2004.1360407.","Vo-Dinh T","IEEE Eng Med Biol Mag","2004","2004/11/30","","","10.1109/memb.2004.1360407"
"30197462","Optical Biopsy of Head and Neck Cancer Using Hyperspectral Imaging and Convolutional Neural Networks","Halicek M, Little JV, Wang X, Patel M, Griffith CC, El-Deiry MW, Chen AY, Fei B.","Proc SPIE Int Soc Opt Eng. 2018 Jan-Feb;10469:104690X. doi: 10.1117/12.2289023. Epub 2018 Feb 12.","Halicek M","Proc SPIE Int Soc Opt Eng","2018","2018/09/11","PMC6123819","NIHMS986999","10.1117/12.2289023"
"32168335","A background correction method to compensate illumination variation in hyperspectral imaging","Yoon J, Grigoroiu A, Bohndiek SE.","PLoS One. 2020 Mar 13;15(3):e0229502. doi: 10.1371/journal.pone.0229502. eCollection 2020.","Yoon J","PLoS One","2020","2020/03/14","PMC7069652","","10.1371/journal.pone.0229502"
"36522524","Real-time, multi-spectral motion artefact correction and compensation for laser speckle contrast imaging","Heeman W, Maassen H, Dijkstra K, Calon J, van Goor H, Leuvenink H, van Dam GM, Boerma EC.","Sci Rep. 2022 Dec 15;12(1):21718. doi: 10.1038/s41598-022-26154-6.","Heeman W","Sci Rep","2022","2022/12/15","PMC9755276","","10.1038/s41598-022-26154-6"
"32795784","A comprehensive review of dual-energy and multi-spectral computed tomography","Garnett R.","Clin Imaging. 2020 Nov;67:160-169. doi: 10.1016/j.clinimag.2020.07.030. Epub 2020 Aug 7.","Garnett R","Clin Imaging","2020","2020/08/16","","","10.1016/j.clinimag.2020.07.030"
"29022300","Photoacoustic imaging of lymphatic pumping","Forbrich A, Heinmiller A, Zemp RJ.","J Biomed Opt. 2017 Oct;22(10):1-6. doi: 10.1117/1.JBO.22.10.106003.","Forbrich A","J Biomed Opt","2017","2017/10/13","","","10.1117/1.JBO.22.10.106003"
"34564709","Human tissue cultures of lung cancer predict patient susceptibility to immune-checkpoint inhibition","Junk D, Krämer S, Broschewitz J, Laura H, Massa C, Moulla Y, Hoang NA, Monecke A, Eichfeld U, Bechmann I, Lordick F, Seliger B, Kallendrusch S.","Cell Death Discov. 2021 Sep 25;7(1):264. doi: 10.1038/s41420-021-00651-5.","Junk D","Cell Death Discov","2021","2021/09/26","PMC8464600","","10.1038/s41420-021-00651-5"
"29846972","Hyperspectral imaging system in the delineation of Ill-defined basal cell carcinomas: a pilot study","Salmivuori M, Neittaanmäki N, Pölönen I, Jeskanen L, Snellman E, Grönroos M.","J Eur Acad Dermatol Venereol. 2019 Jan;33(1):71-78. doi: 10.1111/jdv.15102. Epub 2018 Jun 20.","Salmivuori M","J Eur Acad Dermatol Venereol","2019","2018/05/31","","","10.1111/jdv.15102"
"30891966","Optical biopsy of head and neck cancer using hyperspectral imaging and convolutional neural networks","Halicek M, Little JV, Wang X, Chen AY, Fei B.","J Biomed Opt. 2019 Mar;24(3):1-9. doi: 10.1117/1.JBO.24.3.036007.","Halicek M","J Biomed Opt","2019","2019/03/21","PMC6975184","","10.1117/1.JBO.24.3.036007"
"20567924","Evidence for an additional metastatic route: in vivo imaging of cancer cells in the primo-vascular system around tumors and organs","Yoo JS, Kim HB, Won N, Bang J, Kim S, Ahn S, Lee BC, Soh KS.","Mol Imaging Biol. 2011 Jun;13(3):471-480. doi: 10.1007/s11307-010-0366-1.","Yoo JS","Mol Imaging Biol","2011","2010/06/23","","","10.1007/s11307-010-0366-1"
"22741088","Developing digital tissue phantoms for hyperspectral imaging of ischemic wounds","Xu RX, Allen DW, Huang J, Gnyawali S, Melvin J, Elgharably H, Gordillo G, Huang K, Bergdall V, Litorja M, Rice JP, Hwang J, Sen CK.","Biomed Opt Express. 2012 Jun 1;3(6):1433-45. doi: 10.1364/BOE.3.001433. Epub 2012 May 18.","Xu RX","Biomed Opt Express","2012","2012/06/29","PMC3370982","","10.1364/BOE.3.001433"
"31145123","Assessing autophagy in murine skeletal muscle: current findings to modulate and quantify the autophagic flux","König J, Grune T, Ott C.","Curr Opin Clin Nutr Metab Care. 2019 Sep;22(5):355-362. doi: 10.1097/MCO.0000000000000579.","König J","Curr Opin Clin Nutr Metab Care","2019","2019/05/31","","","10.1097/MCO.0000000000000579"
"20158502","Distinguished photons: increased contrast with multispectral in vivo fluorescence imaging","Mansfield JR, Hoyt CC, Miller PJ, Levenson RM.","Biotechniques. 2005 Dec;39(6 Suppl):S33-7. doi: 10.2144/000112093.","Mansfield JR","Biotechniques","2005","2010/02/18","","","10.2144/000112093"
"17179894","Multispectral quantitative magnetic resonance imaging of brain iron stores: a theoretical perspective","Jara H, Sakai O, Mankal P, Irving RP, Norbash AM.","Top Magn Reson Imaging. 2006 Feb;17(1):19-30. doi: 10.1097/01.rmr.0000245460.82782.69.","Jara H","Top Magn Reson Imaging","2006","2006/12/21","","","10.1097/01.rmr.0000245460.82782.69"
"33407477","Novel endoscopic optical diagnostic technologies in medical trial research: recent advancements and future prospects","He Z, Wang P, Ye X.","Biomed Eng Online. 2021 Jan 6;20(1):5. doi: 10.1186/s12938-020-00845-5.","He Z","Biomed Eng Online","2021","2021/01/07","PMC7789310","","10.1186/s12938-020-00845-5"
"29107094","Hyperspectral imaging for monitoring of perfusion failure upon microvascular anastomosis in the rat hind limb","Grambow E, Dau M, Holmer A, Lipp V, Frerich B, Klar E, Vollmar B, Kämmerer PW.","Microvasc Res. 2018 Mar;116:64-70. doi: 10.1016/j.mvr.2017.10.005. Epub 2017 Nov 6.","Grambow E","Microvasc Res","2018","2017/11/07","","","10.1016/j.mvr.2017.10.005"
"35657832","Deep-Learning-Based Electrical Noise Removal Enables High Spectral Optoacoustic Contrast in Deep Tissue","Dehner C, Olefir I, Chowdhury KB, Justel D, Ntziachristos V.","IEEE Trans Med Imaging. 2022 Nov;41(11):3182-3193. doi: 10.1109/TMI.2022.3180115. Epub 2022 Oct 27.","Dehner C","IEEE Trans Med Imaging","2022","2022/06/03","","","10.1109/TMI.2022.3180115"
"9702882","In vivo validation of tissue segmentation based on a 3D feature map using both a hamster brain tumor model and stereotactically guided biopsy of brain tumors in man","Vinitski S, Gonzalez C, Andrews D, Knobler R, Curtis M, Mohamed F, Gordon J, Khalili K.","J Magn Reson Imaging. 1998 Jul-Aug;8(4):814-9. doi: 10.1002/jmri.1880080410.","Vinitski S","J Magn Reson Imaging","1998","1998/08/14","","","10.1002/jmri.1880080410"
"35308306","Image processing improvements afford second-generation handheld optoacoustic imaging of breast cancer patients","Kukačka J, Metz S, Dehner C, Muckenhuber A, Paul-Yuan K, Karlas A, Fallenberg EM, Rummeny E, Jüstel D, Ntziachristos V.","Photoacoustics. 2022 Mar 2;26:100343. doi: 10.1016/j.pacs.2022.100343. eCollection 2022 Jun.","Kukačka J","Photoacoustics","2022","2022/03/21","PMC8931444","","10.1016/j.pacs.2022.100343"
"26743603","Structural and Functional Analysis of Intact Hair Follicles and Pilosebaceous Units by Volumetric Multispectral Optoacoustic Tomography","Ford SJ, Bigliardi PL, Sardella TCP, Urich A, Burton NC, Kacprowicz M, Bigliardi M, Olivo M, Razansky D.","J Invest Dermatol. 2016 Apr;136(4):753-761. doi: 10.1016/j.jid.2015.09.001. Epub 2015 Dec 30.","Ford SJ","J Invest Dermatol","2016","2016/01/09","","","10.1016/j.jid.2015.09.001"
"28436854","Manifold Embedding and Semantic Segmentation for Intraoperative Guidance With Hyperspectral Brain Imaging","Ravi D, Fabelo H, Callic GM, Yang GZ.","IEEE Trans Med Imaging. 2017 Sep;36(9):1845-1857. doi: 10.1109/TMI.2017.2695523. Epub 2017 Apr 24.","Ravi D","IEEE Trans Med Imaging","2017","2017/04/25","","","10.1109/TMI.2017.2695523"
"33179201","Multi-wavelength fluorescence imaging with a da Vinci Firefly-a technical look behind the scenes","Meershoek P, KleinJan GH, van Willigen DM, Bauwens KP, Spa SJ, van Beurden F, van Gennep EJ, Mottrie AM, van der Poel HG, Buckle T, van Leeuwen FWB, van Oosterom MN.","J Robot Surg. 2021 Oct;15(5):751-760. doi: 10.1007/s11701-020-01170-8. Epub 2020 Nov 11.","Meershoek P","J Robot Surg","2021","2020/11/12","PMC8423683","","10.1007/s11701-020-01170-8"
"31602799","Multispectral near infrared absorption imaging for histology of skin cancer","Spreinat A, Selvaggio G, Erpenbeck L, Kruss S.","J Biophotonics. 2020 Jan;13(1):e201960080. doi: 10.1002/jbio.201960080. Epub 2019 Nov 5.","Spreinat A","J Biophotonics","2020","2019/10/12","PMC7065629","","10.1002/jbio.201960080"
"32042589","All-fibre supercontinuum laser for in vivo multispectral photoacoustic microscopy of lipids in the extended near-infrared region","Dasa MK, Nteroli G, Bowen P, Messa G, Feng Y, Petersen CR, Koutsikou S, Bondu M, Moselund PM, Podoleanu A, Bradu A, Markos C, Bang O.","Photoacoustics. 2020 Jan 27;18:100163. doi: 10.1016/j.pacs.2020.100163. eCollection 2020 Jun.","Dasa MK","Photoacoustics","2020","2020/02/12","PMC6997905","","10.1016/j.pacs.2020.100163"
"21263698","Ex-vivo characterization of human colon cancer by Mueller polarimetric imaging","Pierangelo A, Benali A, Antonelli MR, Novikova T, Validire P, Gayet B, De Martino A.","Opt Express. 2011 Jan 17;19(2):1582-93. doi: 10.1364/OE.19.001582.","Pierangelo A","Opt Express","2011","2011/01/26","","","10.1364/OE.19.001582"
"27076355","Multispectral Photoacoustic Imaging Artifact Removal and Denoising Using Time Series Model-Based Spectral Noise Estimation","Kazakeviciute A, Ho CJ, Olivo M.","IEEE Trans Med Imaging. 2016 Sep;35(9):2151-2163. doi: 10.1109/TMI.2016.2550624. Epub 2016 Apr 5.","Kazakeviciute A","IEEE Trans Med Imaging","2016","2016/04/15","","","10.1109/TMI.2016.2550624"
"34628734","First-in-human pilot study of snapshot multispectral endoscopy for early detection of Barrett's-related neoplasia","Waterhouse DJ, Bano S, Januszewicz W, Stoyanov D, Fitzgerald RC, di Pietro M, Bohndiek SE.","J Biomed Opt. 2021 Oct;26(10):106002. doi: 10.1117/1.JBO.26.10.106002.","Waterhouse DJ","J Biomed Opt","2021","2021/10/10","PMC8501416","","10.1117/1.JBO.26.10.106002"
"31531693","[The development of real-time multispectral imaging for the diagnostics of bladder cancer]","Bolenz C, Rother J, Meessen S, Grychtol B, Majlesara A, Gharabaghi N, Günes C, Ritter M, Deliolanis N, Michel MS, Kriegmair MC.","Urologe A. 2019 Dec;58(12):1435-1442. doi: 10.1007/s00120-019-01037-3.","Bolenz C","Urologe A","2019","2019/09/19","","","10.1007/s00120-019-01037-3"
"26510556","Application of multispectral imaging detects areas with neuronal myelin loss, without tissue labelling","Vazgiouraki E, Papadakis VM, Efstathopoulos P, Lazaridis I, Charalampopoulos I, Fotakis C, Gravanis A.","Microscopy (Oxf). 2016 Apr;65(2):109-18. doi: 10.1093/jmicro/dfv349. Epub 2015 Oct 28.","Vazgiouraki E","Microscopy (Oxf)","2016","2015/10/30","","","10.1093/jmicro/dfv349"
"34906784","Multispectral interlaced sparse sampling photoacoustic tomography based on directional total variation","Li X, Ge J, Zhang S, Wu J, Qi L, Chen W.","Comput Methods Programs Biomed. 2022 Feb;214:106562. doi: 10.1016/j.cmpb.2021.106562. Epub 2021 Nov 30.","Li X","Comput Methods Programs Biomed","2022","2021/12/15","","","10.1016/j.cmpb.2021.106562"
"23955718","Quantitative optical imaging of vascular response in vivo in a model of peripheral arterial disease","Poole KM, Tucker-Schwartz JM, Sit WW, Walsh AJ, Duvall CL, Skala MC.","Am J Physiol Heart Circ Physiol. 2013 Oct 15;305(8):H1168-80. doi: 10.1152/ajpheart.00362.2013. Epub 2013 Aug 16.","Poole KM","Am J Physiol Heart Circ Physiol","2013","2013/08/20","PMC3798791","","10.1152/ajpheart.00362.2013"
"28387781","Molecular imaging probes for multi-spectral optoacoustic tomography","Gujrati V, Mishra A, Ntziachristos V.","Chem Commun (Camb). 2017 Apr 25;53(34):4653-4672. doi: 10.1039/c6cc09421j.","Gujrati V","Chem Commun (Camb)","2017","2017/04/08","","","10.1039/c6cc09421j"
"34075450","High Precision Monitoring of Radiofrequency Ablation for Liver Using Hyperspectral Imaging","Abdlaty R, Abbass MA, Awadallah AM.","Ann Biomed Eng. 2021 Sep;49(9):2430-2440. doi: 10.1007/s10439-021-02797-w. Epub 2021 Jun 1.","Abdlaty R","Ann Biomed Eng","2021","2021/06/02","","","10.1007/s10439-021-02797-w"
"24186059","Chemical imaging of lipid droplets in muscle tissues using hyperspectral coherent Raman microscopy","Billecke N, Rago G, Bosma M, Eijkel G, Gemmink A, Leproux P, Huss G, Schrauwen P, Hesselink MK, Bonn M, Parekh SH.","Histochem Cell Biol. 2014 Mar;141(3):263-73. doi: 10.1007/s00418-013-1161-2. Epub 2013 Nov 2.","Billecke N","Histochem Cell Biol","2014","2013/11/05","","","10.1007/s00418-013-1161-2"
"24646432","Quantitative gene analysis of methylation and expression (Q-GAME) in fresh or fixed cells and tissues","Wu J, Salva KA, Stutz N, Longley BJ, Spiegelman VS, Wood GS.","Exp Dermatol. 2014 May;23(5):304-9. doi: 10.1111/exd.12374.","Wu J","Exp Dermatol","2014","2014/03/21","PMC4331060","NIHMS661014","10.1111/exd.12374"
"33996242","Photoacoustic imaging of the spatial distribution of oxygen saturation in an ischemia-reperfusion model in humans","Merdasa A, Bunke J, Naumovska M, Albinsson J, Erlöv T, Cinthio M, Reistad N, Sheikh R, Malmsjö M.","Biomed Opt Express. 2021 Mar 30;12(4):2484-2495. doi: 10.1364/BOE.418397. eCollection 2021 Apr 1.","Merdasa A","Biomed Opt Express","2021","2021/05/17","PMC8086473","","10.1364/BOE.418397"
"20882278","In vivo ¹⁸F-FDG tumour uptake measurements in small animals using Cerenkov radiation","Boschi F, Calderan L, D'Ambrosio D, Marengo M, Fenzi A, Calandrino R, Sbarbati A, Spinelli AE.","Eur J Nucl Med Mol Imaging. 2011 Jan;38(1):120-7. doi: 10.1007/s00259-010-1630-y. Epub 2010 Sep 30.","Boschi F","Eur J Nucl Med Mol Imaging","2011","2010/10/01","","","10.1007/s00259-010-1630-y"
"24898604","Rotational multispectral fluorescence lifetime imaging and intravascular ultrasound: bimodal system for intravascular applications","Ma D, Bec J, Yankelevich DR, Gorpas D, Fatakdawala H, Marcu L.","J Biomed Opt. 2014 Jun;19(6):066004. doi: 10.1117/1.JBO.19.6.066004.","Ma D","J Biomed Opt","2014","2014/06/06","PMC4045254","","10.1117/1.JBO.19.6.066004"
"32103369","Cryo-imaging of Stem Cell Biodistribution in Mouse Model of Graft-Versus-Host-Disease","Wuttisarnwattana P, Eid S, Gargesha M, Cooke KR, Wilson DL.","Ann Biomed Eng. 2020 Jun;48(6):1702-1711. doi: 10.1007/s10439-020-02487-z. Epub 2020 Feb 26.","Wuttisarnwattana P","Ann Biomed Eng","2020","2020/02/28","","","10.1007/s10439-020-02487-z"
"32415224","Real-time multispectral fluorescence lifetime imaging using Single Photon Avalanche Diode arrays","Lagarto JL, Villa F, Tisa S, Zappa F, Shcheslavskiy V, Pavone FS, Cicchi R.","Sci Rep. 2020 May 15;10(1):8116. doi: 10.1038/s41598-020-65218-3.","Lagarto JL","Sci Rep","2020","2020/05/17","PMC7229199","","10.1038/s41598-020-65218-3"
"24560001","Simultaneous Raman microspectroscopy and fluorescence imaging of bone mineralization in living zebrafish larvae","Bennet M, Akiva A, Faivre D, Malkinson G, Yaniv K, Abdelilah-Seyfried S, Fratzl P, Masic A.","Biophys J. 2014 Feb 18;106(4):L17-9. doi: 10.1016/j.bpj.2014.01.002.","Bennet M","Biophys J","2014","2014/02/25","PMC3944822","","10.1016/j.bpj.2014.01.002"
"30874312","Multispectral photoacoustic imaging for the detection of subclinical melanoma","Sinnamon AJ, Neuwirth MG, Song Y, Schultz SM, Liu S, Xu X, Sehgal CM, Karakousis GC.","J Surg Oncol. 2019 Jun;119(8):1070-1076. doi: 10.1002/jso.25447. Epub 2019 Mar 15.","Sinnamon AJ","J Surg Oncol","2019","2019/03/16","","","10.1002/jso.25447"
"29235512","A Multimodal Biomicroscopic System based on High-frequency Acoustic Radiation Force Impulse and Multispectral Imaging Techniques for Tumor Characterization Ex vivo","Kim J, Seo A, Kim JY, Choi SH, Yoon HJ, Kim E, Hwang JY.","Sci Rep. 2017 Dec 13;7(1):17518. doi: 10.1038/s41598-017-17367-1.","Kim J","Sci Rep","2017","2017/12/14","PMC5727531","","10.1038/s41598-017-17367-1"
"22025336","Advanced contrast nanoagents for photoacoustic molecular imaging, cytometry, blood test and photothermal theranostics","de la Zerda A, Kim JW, Galanzha EI, Gambhir SS, Zharov VP.","Contrast Media Mol Imaging. 2011 Sep-Oct;6(5):346-69. doi: 10.1002/cmmi.455.","de la Zerda A","Contrast Media Mol Imaging","2011","2011/10/26","PMC4282188","NIHMS500872","10.1002/cmmi.455"
"31738948","In Vivo Bioluminescence Tomography Center of Mass-Guided Conformal Irradiation","Deng Z, Xu X, Garzon-Muvdi T, Xia Y, Kim E, Belcaid Z, Luksik A, Maxwell R, Choi J, Wang H, Yu J, Iordachita I, Lim M, Wong JW, Wang KK.","Int J Radiat Oncol Biol Phys. 2020 Mar 1;106(3):612-620. doi: 10.1016/j.ijrobp.2019.11.003. Epub 2019 Nov 15.","Deng Z","Int J Radiat Oncol Biol Phys","2020","2019/11/19","PMC7007925","NIHMS1543792","10.1016/j.ijrobp.2019.11.003"
"30814423","Ex Vivo Assessment of Various Histological Differentiation in Human Carotid Plaque with Near-infrared Spectroscopy Using Multiple Wavelengths","Munemitsu T, Ishii A, Okada E, Chihara H, Yoshida K, Takahashi JC, Takagi Y, Miyamoto S.","Neurol Med Chir (Tokyo). 2019 May 15;59(5):163-171. doi: 10.2176/nmc.oa.2018-0203. Epub 2019 Feb 28.","Munemitsu T","Neurol Med Chir (Tokyo)","2019","2019/03/01","PMC6527965","","10.2176/nmc.oa.2018-0203"
"26446578","Multi-scale hyperspectral imaging of cervical neoplasia","Wang C, Zheng W, Bu Y, Chang S, Zhang S, Xu RX.","Arch Gynecol Obstet. 2016 Jun;293(6):1309-17. doi: 10.1007/s00404-015-3906-8. Epub 2015 Oct 7.","Wang C","Arch Gynecol Obstet","2016","2015/10/09","","","10.1007/s00404-015-3906-8"
"30178317","Hyperspectral Imaging of the Hemodynamic and Metabolic States of the Exposed Cortex: Investigating a Commercial Snapshot Solution","Giannoni L, Lange F, Davies AL, Dua A, Gustavson B, Smith KJ, Tachtsidis I.","Adv Exp Med Biol. 2018;1072:13-20. doi: 10.1007/978-3-319-91287-5_3.","Giannoni L","Adv Exp Med Biol","2018","2018/09/05","PMC6142854","","10.1007/978-3-319-91287-5_3"
"27206742","Image enhancement based on in vivo hyperspectral gastroscopic images: a case study","Gu X, Han Z, Yao L, Zhong Y, Shi Q, Fu Y, Liu C, Wang X, Xie T.","J Biomed Opt. 2016 Oct;21(10):101412. doi: 10.1117/1.JBO.21.10.101412.","Gu X","J Biomed Opt","2016","2016/05/22","","","10.1117/1.JBO.21.10.101412"
"20459270","Multispectral in vivo three-dimensional optical coherence tomography of human skin","Alex A, Povazay B, Hofer B, Popov S, Glittenberg C, Binder S, Drexler W.","J Biomed Opt. 2010 Mar-Apr;15(2):026025. doi: 10.1117/1.3400665.","Alex A","J Biomed Opt","2010","2010/05/13","","","10.1117/1.3400665"
"36713257","Metasurface-enhanced mid-infrared spectrochemical imaging of tissues","Rosas S, Schoeller KA, Chang E, Mei H, Kats MA, Eliceiri KW, Zhao X, Yesilkoy F.","ArXiv. 2023 Jan 19:arXiv:2301.05884v2. Preprint.","Rosas S","ArXiv","2023","2023/01/30","PMC9882561","",""
"32206417","Tumor detection of the thyroid and salivary glands using hyperspectral imaging and deep learning","Halicek M, Dormer JD, Little JV, Chen AY, Fei B.","Biomed Opt Express. 2020 Feb 18;11(3):1383-1400. doi: 10.1364/BOE.381257. eCollection 2020 Mar 1.","Halicek M","Biomed Opt Express","2020","2020/03/25","PMC7075628","","10.1364/BOE.381257"
