Publication Type;Article Title;Abstract;Publication Year;DOI
C;Multispectral endoscopy and microscopy imaging using a spectrally programmable light engine;We report a spectrally and temporally programmable light engine based on a spatial light modulator that can dynamically create any narrow or broadband spectral profile for hyperspectral, fluorescence, or principal component imaging. Most hyperspectral or multispectral imaging systems use wavelength selection devices such as acousto-optic tunable filters (AOTFs), tunable grating or prism-based monochromators, or filter wheels. While these devices can select wavelengths they cannot create arbitrary spectral profiles. This simple and economical system can be controlled at high speed (up to 5000 illumination profiles per second). Digitally controlled illumination is bit additive with image data providing high dynamic range imaging with monochrome or color imaging devices. This is especially advantageous for endoscopes employing small well CCD or CMOS sensors since the dynamic range now can extend beyond the limits of the sensor itself. In this report we show multispectral images of in vivo tissue and in vitro tissue samples using endoscopes, surgical microscopes and conventional microscopes.;2005;10.1117/12.613989
C;Hyperspectral fluorescence imaging with multi wavelength LED excitation;Hyperspectral imaging (HSI) can combine morphological and molecular information, yielding potential for real-time and high throughput multiplexed fluorescent contrast agent imaging. Multiplexed readout from targets, such as cell surface receptors overexpressed in cancer cells, could improve both sensitivity and specificity of tumor identification. There remains, however, a need for compact and cost effective implementations of the technology. We have implemented a low-cost wide-field multiplexed fluorescence imaging system, which combines LED excitation at 590, 655 and 740 nm with a compact commercial solid state HSI system operating in the range 600 - 1000 nm. A key challenge for using reflectance-based HSI is the separation of contrast agent fluorescence from the reflectance of the excitation light. Here, we illustrate how it is possible to address this challenge in software, using two offline reflectance removal methods, prior to least-squares spectral unmixing. We made a quantitative comparison of the methods using data acquired from dilutions of contrast agents prepared in well-plates. We then established the capability of our HSI system for non-invasive in vivo fluorescence imaging in small animals using the optimal reflectance removal method. The HSI presented here enables quantitative unmixing of at least four fluorescent contrast agents (Alexa Fluor 610, 647, 700 and 750) simultaneously in living mice. A successful unmixing of the four fluorescent contrast agents was possible both using the pure contrast agents and with mixtures. The system could in principle also be applied to imaging of ex vivo tissue or intraoperative imaging in a clinical setting. These data suggest a promising approach for developing clinical applications of HSI based on multiplexed fluorescence contrast agent imaging.;2016;10.1117/12.2210855
J;Multispectral characterization of tissues encountered during laparoscopic colorectal surgery;"Aims: This study investigated the feasibility of automated differentiation between essential tissue types encountered during laparoscopic colorectal surgery using spectral analysis. Methods: Wide band (440-1830 nm) spectra were collected using an optical fiber probe and spectrometer from freshly explanted, ex vivo, human colonic specimens. These data were normalized at 810 nm (an isobestic wavelength for hemoglobin and oxy-hemoglobin) and mathematically analyzed using total principal component regression (TPCR). Results: 929 spectra were collected from specimens of 19 patients, distinguishing 5 tissue types: mesenteric fat (MF, n=269), blood vessels (BV, n=377), colonic tissue (CT, n=213), ureter (UR, n=10) and tumorous tissue in colon (TT, n=60). For each individual tissue type the distinctive ability was determined against all other tissue types pooled as a group. Paired probability density function (PDF) of tissue (centered around label 1) versus all other pooled tissues (centered around label 0) and the cumulative distribution function (CDF) at label crossover value 0.5 was determined for each tissue type (MF: CDF = 0.99 [SD = 0.19]; BV: CDF = 0.95 [SD = 0.29]; CT: CDF= 0.98 [SD = 0.22]; UR: CDF= 0.99 [SD = 0.091; TT: CDF= 0.99 [SD = 0.18]). Conclusion: Automated spectral differentiation of blood vessel, ureter, mesenteric adipose tissue, colonic tissue and tumorous tissue in colon, is feasible in freshly explanted human colonic specimens. These results may be exploited for further steps toward multi- or hyperspectrally enhanced in vivo (laparoscopic) surgical imaging. 2013 IPEM. Published by Elsevier Ltd. All rights reserved.";2013;10.1016/j.medengphy.2013.01.004
J;Intraoperative using of artificial intelligence and hyperspectral imaging in colorectal surgeries;Background Colorectal cancer is the most common type of cancer worldwide. New methods of precision surgery as well as early detection of neoplastic tissue in colonoscopy play a crucial role in improving the prognosis of this common entity. Artificial intelligence (AI) and innovative, noninvasive, contactless imaging methods are required to further optimize the diagnostics and treatment. Hyperspectral imaging (HSI) is ideal for this. It enables the chemical tissue properties to be analyzed based on the interactions of light with the tissue types to be examined. Objective Using HSI valuable intraoperative information can be obtained in order to make colorectal interventions more efficient and safer through tissue analyses (e.g. differentiation of pathological and normal tissue, depiction of the nerve plexus in the true pelvis as well as the ureter). In order to make a better interpretation of this hyperspectral information, current methods of AI are used. In this article, the latest intraoperative methods in the context of colorectal resection are presented and critically discussed. Material and method For this purpose, a summary of current work on the combination of HSI with AI methods is presented. These studies deal with the intraoperative tissue classification of neoplastic vs. non-neoplastic lesions and the identification of risk structures in colorectal surgery. Results In more recent papers, a successful differentiation of colorectal carcinomas from dysplastic and normal mucosa as well as the recognition of risk structures with an accuracy, sensitivity and specificity of >90% could be achieved. These involve in vivo and ex vivo studies using various AI algorithms. Conclusion Initial studies showed the versatile possibilities of HSI in combination with AI in colorectal surgery. In future studies, based on larger amounts of data, the practicability, stability and accuracy of the AI methods will be further investigated. In addition, HSI technology must be further developed and also implemented in endoscopic diagnostics in order to use its great potential not only in colorectal resection but also in colonoscopy for many other patients.;2022;10.1007/s00053-022-00592-2
J;Medical hyperspectral imaging: a review;Hyperspectral imaging (HSI) is an emerging imaging modality for medical applications, especially in disease diagnosis and image-guided surgery. HSI acquires a three-dimensional dataset called hypercube, with two spatial dimensions and one spectral dimension. Spatially resolved spectral imaging obtained by HSI provides diagnostic information about the tissue physiology, morphology, and composition. This review paper presents an overview of the literature on medical hyperspectral imaging technology and its applications. The aim of the survey is threefold: an introduction for those new to the field, an overview for those working in the field, and a reference for those searching for literature on a specific application. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.;2014;10.1117/1.JBO.19.1.010901
J;Noninvasive and Highly Multiplexed Five-Color Tumor Imaging of Multicore Near-Infrared Resonant Surface-Enhanced Raman Nanoparticles In Vivo;In vivo multiplexed imaging aims for noninvasive monitoring of tumors with multiple channels without excision of the tissue. While most of the preclinical imaging has provided a number of multiplexing channels up to three, Raman imaging with surface-enhanced Raman scattering (SERS) nanoparticles was suggested to offer higher multiplexing capability originating from their narrow spectral width. However, in vivo multiplexed SERS imaging is still in its infancy for multichannel visualization of tumors, which require both sufficient multiplicity and high sensitivity concurrently. Here we create multispectral palettes of gold multicore-near-infrared (NIR) resonant Raman dyes-silica shell SERS (NIR-SERRS) nanoparticle oligomers and demonstrate noninvasive and five-plex SERS imaging of the nanoparticle accumulation in tumors of living mice. We perform the five-plex ratiometric imaging of tumors by varying the administered ratio of the nanoparticles, which simulates the detection of multiple biomarkers with different expression levels in the tumor environment. Furthermore, since this method does not require the excision of tumor tissues at the imaging condition, we perform noninvasive and longitudinal imaging of the five-color nanoparticles in the tumors, which is not feasible with current ex vivo multiplexed tissue analysis platforms. Our work surpasses the multiplicity limit of previous preclinical tumor imaging methods while keeping enough sensitivity for tumor-targeted in vivo imaging and could enable the noninvasive assessment of multiple biological targets within the tumor microenvironment in living subjects.;2021;10.1021/acsnano.1c07470
J;Quantitative short-wave infrared multispectral imaging of in vivo tissue optical properties;Extending the wavelength range of spatial frequency domain imaging (SFDI) into the short-wave infrared (SWIR) has the potential to provide enhanced sensitivity to chromophores such as water and lipids that have prominent absorption features in the SWIR region. Here, we present, for the first time, a method combining SFDI with unstructured (zero spatial frequency) illumination to extract tissue absorption and scattering properties over a wavelength range (850 to 1800 nm) largely unexplored by previous tissue optics techniques. To obtain images over this wavelength range, we employ a SWIR camera in conjunction with an SFDI system. We use SFDI to obtain in vivo tissue reduced scattering coefficients at the wavelengths from 850 to 1050 nm, and then use unstructured wide-field illumination and an extrapolated power-law fit to this scattering spectrum to extract the absorption spectrum from 850 to 1800 nm. Our proof-of-principle experiment in a rat burn model illustrates that the combination of multispectral SWIR imaging, SFDI, and unstructured illumination can characterize in vivo changes in skin optical properties over a greatly expanded wavelength range. In the rat burn experiment, these changes (relative to normal, unburned skin) included increased absorption and increased scattering amplitude and slope, consistent with changes that we previously reported in the near-infrared using SFDI. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;2014;10.1117/1.JBO.19.8.086011
J;Rapid, label-free detection of cerebral ischemia in rats using hyperspectral imaging;Background: Stroke is the third most common cause of disability and the second most common cause of death worldwide. Ischemia, one of the two broad categories of stroke, is characterized by a lack of sufficient amounts of blood in order to supply an adequate amount of oxygen and nutrients. It is important to assess the part of the brain that becomes ischemic and necrotic during neurosurgery or experiments in real time. However, there is currently no effective means to achieve this goal. New method: We proposed a method based on hyperspectral imaging (HSI) for the real-time detection of a varied range of ischemic brain tissues in vivo or ex vivo and assessed the practical utility of a model of ischemic stroke in rats. Results: The results showed that hyperspectral images processed with a ratio of spectral reflectance at 545 and 560 nm (R545/R560) could identify early brain ischemia and accurately show regions of ischemia. Comparison with existing methods: We verified the area imaged by HSI using hematoxylin and eosin (HE) and 2, 3, 5-triphenyltetrazolium chloride (TTC) staining methods. This technique could precisely image the ischemic part of the brain in vivo and ex vivo. Conclusions: These results demonstrate the practical utility of HSI for the real-time detection of cerebral ischemia in rats. By providing rapid assessment of brain tissue perfusion, HSI may help doctors recognize ischemic regions quickly and precisely during surgery as well as have great utility in the experimental process.;2020;10.1016/j.jneumeth.2019.108466
J;Hyperspectral imaging of mucosal surfaces in patients;The aim of this study was to proof applicability of hyperspectral imaging for the analysis and classification of human mucosal surfaces in vivo. The larynx as a prototypical anatomically well-defined surgical test area was analyzed by microlaryngoscopy with a polychromatic lightsource and a synchronous triggered monochromatic CCD-camera. Image stacks (5 benign, 7 malignant tumors) were analyzed by established software (principal component analysis PCA, hyperspectral classification, spectral profiles). Hyperspectral image datacubes were analyzed and classified by conventional software. In PCA, images at 590-680 nm loaded most onto the first PC which typically contained 95% of the total information. Hyperspectral classification clustered the data highlighting altered mucosa. The spectral profiles clearly differed between the different groups. Hyperspectral imaging can be applied to mucosal surfaces. This approach opens the way to analyze spectral characteristics of histologically different lesions in order to build up a spectral library and to allow non-touch optical biopsy. (C) 2012 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim);2012;10.1002/jbio.201100081
J;How Stealthy are PEG-PLA Nanoparticles? An NIR In Vivo Study Combined with Detailed Size Measurements;"Detailed in vivo and ex vivo analysis of nanoparticle distribution, accumulation and elimination processes were combined with comprehensive particle size characterizations. The in vivo fate of near infrared (NIR) nanoparticles in nude mice was carried out using the Maestro (TM) in vivo fluorescence imaging system. Asymmetrical field flow field fractionation (AF4) coupled with multi-angle laser light scattering (MALLS), photon correlation spectroscopy (PCS) and transmission electron microscopy (TEM) were employed for detailed in vitro characterization. PEG-PLA block polymers were synthesized and used for the production of defined, stable, nontoxic nanoparticles. Nanoparticle analysis revealed narrow size distribution; AF4/MALLS permitted further accurate size evaluation. Multispectral fluorescence imaging made it possible to follow the in vivo fate non-invasively even in deep tissues over several days. Detailed fluorescence ex vivo imaging studies were performed and allowed to establish a calculation method to compare nanoparticle batches with varying fluorescence intensities. We combined narrow-size distributed nanoparticle batches with detailed in vitro characterization and the understanding of their in vivo fate using fluorescence imaging, confirming the wide possibilities of the non-invasive technique and presenting the basis to evaluate future size-dependent passive tumor accumulation studies.";2011;10.1007/s11095-011-0426-5
J;Effects of multispectral excitation on the sensitivity of molecular optoacoustic imaging;Molecular optoacoustic (photoacoustic) imaging typically relies on the spectral identification of absorption signatures from molecules of interest. To achieve this, two or more excitation wavelengths are employed to sequentially illuminate tissue. Due to depth-related spectral dependencies and detection related effects, the multispectral optoacoustic tomography (MSOT) spectral unmixing problem presents a complex non-linear inversion operation. So far, different studies have showcased the spectral capacity of optoacoustic imaging, without however relating the performance achieved to the number of wavelengths employed. Overall, the dependence of the sensitivity and accuracy of optoacoustic imaging as a function of the number of illumination wavelengths has not been so far comprehensively studied. In this paper we study the impact of the number of excitation wavelengths employed on the sensitivity and accuracy achieved by molecular optoacoustic tomography. We present a quantitative analysis, based on synthetic MSOT datasets and observe a trend of sensitivity increase for up to 20 wavelengths. Importantly we quantify this relation and demonstrate an up to an order of magnitude sensitivity increase of multi-wavelength illumination vs. single or dual wavelength optoacoustic imaging. Examples from experimental animal studies are finally utilized to support the findings. [GRAPHICS] In vivo MSOT imaging of a mouse brain bearing a tumor that is expressing a near-infrared fluorescent protein. (a) Monochromatic optoacoustic imaging at the peak excitation wavelength of the fluorescent protein. (b) Overlay of the detected bio-distribution of the protein (red pseudocolor) on the monochromatic optoacoustic image. (c) Ex vivo validation by means of cryoslicing fluorescence imaging.;2015;10.1002/jbio.201400056
J;Real-time snapshot hyperspectral imaging endoscope;Hyperspectral imaging has tremendous potential to detect important molecular biomarkers of early cancer based on their unique spectral signatures. Several drawbacks have limited its use for in vivo screening applications: most notably the poor temporal and spatial resolution, high expense, and low optical throughput of existing hyperspectral imagers. We present the development of a new real-time hyperspectral endoscope (called the image mapping spectroscopy endoscope) based on an image mapping technique capable of addressing these challenges. The parallel high throughput nature of this technique enables the device to operate at frame rates of 5.2 frames per second while collecting a (x, y, lambda) datacube of 350 x 350 x 48. We have successfully imaged tissue in vivo, resolving a vasculature pattern of the lower lip while simultaneously detecting oxy-hemoglobin. (C) 2011 Society of Photo-Optical Instrumentation Engineers (SPIE). [DOI: 10.1117/1.3574756];2011;10.1117/1.3574756
J;Multispectral Optoacoustic Tomography in Assessment of Breast Tumor Margins During Breast-Conserving Surgery: A First-in-human Case Study;Multispectral optoacoustic tomography (MSOT) is an innovative state-of-the-art imaging modality that has gained popularity for in vivo breast imaging in recent years. Combining high-resolution images with endogenous differentiation of biochemical contents, MSOT could be an accurate ex vivo imaging modality for assessment of tumor margins during breast-conserving surgery to reduce margin positivity rates. Accurate intraoperative assessment of margins could lead to more precise surgery, allowing a smaller volume of breast tissue to be removed without compromising the resection margins. To the authors' knowledge, there has been no ex vivo study conducted to this day that uses MSOT in the assessment of breast tumor margins after lumpectomy. Hence, we would like to present the first case of breast tumor margin assessment using MSOT in a 55-year-old patient who underwent breast-conserving surgery for invasive ductal carcinoma. (C) 2018 The Authors. Published by Elsevier Inc.;2018;10.1016/j.clbc.2018.07.026
C;Multiparametric Radiomics for Predicting the Aggressiveness of Papillary Thyroid Carcinoma Using Hyperspectral Images;Papillary thyroid carcinoma (PTC) is primarily treated by surgical resection. During surgery, surgeons often need intraoperative frozen analysis and pathologic consultation in order to detect PTC. In some cases pathologists cannot determine if the tumor is aggressive until the operation has been completed. In this work, we have taken tumor classification a step further by determining the tumor aggressiveness of fresh surgical specimens. We employed hyperspectral imaging (HSI) in combination with multiparametric radiomic features to complete this task. The study cohort includes 72 ex-vivo tissue specimens from 44 patients with pathology-confirmed PTC. A total of 67 features were extracted from this data. Using machine learning classification methods, we were able to achieve an AUC of 0.85. Our study shows that hyperspectral imaging and multiparametric radiomic features could aid in the pathological detection of tumor aggressiveness using fresh surgical spemens obtained during surgery.;2021;10.1117/12.2582147
J;Oximetry using multispectral imaging: theory and application;Multispectral imaging (MSI) is a technique for measurement of blood oxygen saturation in vivo that can be applied using various imaging modalities to provide new insights into physiology and disease development. This tutorial aims to provide a thorough introduction to the theory and application of MSI oximetry for researchers new to the field, whilst also providing detailed information for more experienced researchers. The optical theory underlying two-wavelength oximetry, three-wavelength oximetry, pulse oximetry, and multispectral oximetry algorithms are described in detail. The varied challenges of applying MSI oximetry to in vivo applications are outlined and discussed, covering: the optical properties of blood and tissue, optical paths in blood vessels, tissue auto-fluorescence, oxygen diffusion, and common oximetry artefacts. Essential image processing techniques for MSI are discussed, in particular, image acquisition, image registration strategies, and blood vessel line profile fitting. Calibration and validation strategies for MSI are discussed, including comparison techniques, physiological interventions, and phantoms. The optical principles and unique imaging capabilities of various cutting-edge MSI oximetry techniques are discussed, including photoacoustic imaging, spectroscopic optical coherence tomography, and snapshot MSI.;2018;10.1088/2040-8986/aab74c
J;Multispectral tissue mapping: developing a concept for the optical evaluation of liver disease;Purpose: Alterations in the optical absorption behavior of liver tissue secondary to pathological processes can be evaluated by multispectral analysis, which is increasingly being explored as an imaging adjunct for use in liver surgery. Current methods are either invasive or have a limited wavelength spectrum, which restricts utility. This proof of concept study describes the development of a multispectral imaging (MSI) method called multispectral tissue mapping (MTM) that addresses these issues. Approach: The imaging system consists of a tunable excitation light source and a near-infrared camera. Following the development stage, proof of concept experiments are carried out where absorption spectra from colorectal cancer liver metastasis (CRLM), hepatocellular carcinoma (HCC), and liver steatosis specimen are acquired and compared to controls. Absorption spectra are compared to histopathology examination as the current gold standard for tissue assessment. Generalized linear mixed modeling is employed to compare absorption characteristics of individual pixels and to select wavelengths for false color image processing with the aim of visually enhancing cancer tissue. Results: Analysis of individual pixels revealed distinct absorption spectra therefore suggesting that MTM is possible. A prominent absorption peak at 1210 nm was found in lipid-rich animal tissues and steatotic liver specimen. Liver cancer tissue had a heterogeneous appearance on MSI. Subsequent statistical analysis suggests that measuring changes in absorption behavior may be a feasible method to estimate the pixel-based probability of cancer being present. In CRLM, this was observed throughout 1100 to 1700 nm, whereas in HCC it was concentrated around 1140 and 1430 nm. False color image processing visibly enhances contrast between cancer and normal liver tissues. Conclusions: The system's ability to enable no-touch MSI at 1100 to 1700 nm was demonstrated. Preliminary data suggest that MTM warrants further exploration as a potential imaging tool for the detection of liver cancer during surgery. (C) The Authors. Published by SPIE under a Creative Commons Attribution 4.0 Unported License.;2020;10.1117/1.JMI.7.6.066001
J;Dual-modality endoscopic probe for tissue surface shape reconstruction and hyperspectral imaging enabled by deep neural networks;Surgical guidance and decision making could be improved with accurate and real-time measurement of intra-operative data including shape and spectral information of the tissue surface. In this work, a dual modality endoscopic system has been proposed to enable tissue surface shape reconstruction and hyperspectral imaging (HSI). This system centers around a probe comprised of an incoherent fiber bundle, whose fiber arrangement is different at the two ends, and miniature imaging optics. For 3D reconstruction with structured light (SL), a light pattern formed of randomly distributed spots with different colors is projected onto the tissue surface, creating artificial texture. Pattern decoding with a Convolutional Neural Network (CNN) model and a customized feature descriptor enables real-time 3D surface reconstruction at approximately 12 frames per second (FPS). In HSI mode, spatially sparse hyperspectral signals from the tissue surface can be captured with a slit hyperspectral imager in a single snapshot. A CNN based super-resolution model, namely super-spectral-resolution network (SSRNet), has also been developed to estimate pixel-level dense hypercubes from the endoscope cameras standard RGB images and the sparse hyperspectral signals, at approximately 2 FPS. The probe, with a 2.1 mm diameter, enables the system to be used with endoscope working channels. Furthermore, since data acquisition in both modes can be accomplished in one snapshot, operation of this system in clinical applications is minimally affected by tissue surface movement and deformation. The whole apparatus has been validated on phantoms and tissue (ex vivo and in vivo), while initial measurements on patients during laryngeal surgery show its potential in real-world clinical applications. (C) 2018 Elsevier B.V. All rights reserved.;2018;10.1016/j.media.2018.06.004
J;Method using in vivo quantitative spectroscopy to guide design and optimization of low-cost, compact clinical imaging devices: emulation and evaluation of multispectral imaging systems;With recent proliferation in compact and/or low-cost clinical multispectral imaging approaches and commercially available components, questions remain whether they adequately capture the requisite spectral content of their applications. We present a method to emulate the spectral range and resolution of a variety of multispectral imagers, based on in-vivo data acquired from spatial frequency domain spectroscopy (SFDS). This approach simulates spectral responses over 400 to 1100 nm. Comparing emulated data with full SFDS spectra of in-vivo tissue affords the opportunity to evaluate whether the sparse spectral content of these imagers can (1) account for all sources of optical contrast present ( completeness) and (2) robustly separate and quantify sources of optical contrast (crosstalk). We validate the approach over a range of tissue-simulating phantoms, comparing the SFDS-based emulated spectra against measurements from an independently characterized multispectral imager. Emulated results match the imager across all phantoms (< 3% absorption, < 1% reduced scattering). In-vivo test cases (burn wounds and photoaging) illustrate how SFDS can be used to evaluate different multispectral imagers. This approach provides an in-vivo measurement method to evaluate the performance of multispectral imagers specific to their targeted clinical applications and can assist in the design and optimization of new spectral imaging devices. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;2018;
J;Toward Assessment of Resection Margins Using Hyperspectral Diffuse Reflection Imaging (400-1,700 nm) During Tongue Cancer Surgery;Background and Objectives There is a clinical need to assess the resection margins of tongue cancer specimens, intraoperatively. In the current ex vivo study, we evaluated the feasibility of hyperspectral diffuse reflectance imaging (HSI) for distinguishing tumor from the healthy tongue tissue. Study Design/Materials and Methods Fresh surgical specimens (n = 14) of squamous cell carcinoma of the tongue were scanned with two hyperspectral cameras that cover the visible and near-infrared spectrum (400-1,700 nm). Each pixel of the hyperspectral image represents a measure of the diffuse optical reflectance. A neural network was used for tissue-type prediction of the hyperspectral images of the visual and near-infrared data sets separately as well as both data sets combined. Results HSI was able to distinguish tumor from muscle with a good accuracy. The diagnostic performance of both wavelength ranges (sensitivity/specificity of visual and near-infrared were 84%/80% and 77%/77%, respectively) appears to be comparable and there is no additional benefit of combining the two wavelength ranges (sensitivity and specificity were 83%/76%). Conclusions HSI has a strong potential for intra-operative assessment of tumor resection margins of squamous cell carcinoma of the tongue. This may optimize surgery, as the entire resection surface can be scanned in a single run and the results can be readily available. Lasers Surg. Med. (c) 2019 Wiley Periodicals, Inc.;2020;10.1002/lsm.23161
C;Multispectral device for help in diagnosis;In order to build biological tissues spectral characteristics database to be used in a multispectral imaging system a tissues optical characterization bench is developed and validated. Several biological tissue types have been characterized in vitro and ex vivo with our device such as beef, turkey and pork muscle and beef liver. Multispectral images obtained have been analyzed in order to study the dispersion of biological tissues spectral luminance factor. Tissue internal structure inhomogeneity was identified as a phenomenon contributing to the dispersion of spectral luminance factor. This dispersion of spectral luminance factor could be a characteristic of the tissue. A method based on envelope technique has been developed to identify and differentiate biological tissues in the same scene. This method applied to pork tissues containing muscle and fat gives detection rates of 59% for pork muscle and 14% for pork fat.;2012;10.1117/12.909107
C;Detecting Aggressive Papillary Thyroid Carcinoma Using Hyperspectral Imaging and Radiomic Features;Hyperspectral imaging (HSI) and radiomics have the potential to improve the accuracy of tumor malignancy prediction and assessment. In this work, we extracted radiomic features of fresh surgical papillary thyroid carcinoma (PTC) specimen that were imaged with HSI. A total of 107 unique radiomic features were extracted. This study includes 72 ex-vivo tissue specimens from 44 patients with pathology-confirmed PTC. With the dilated hyperspectral images, the shape feature of least axis length was able to predict the tumor aggressiveness with a high accuracy. The HSI-based radiomic method may provide a useful tool to aid oncologists in determining tumors with intermediate to high risk and in clinical decision making.;2022;10.1117/12.2611842
J;Label-free in vivo imaging of peripheral nerve by multispectral photoacoustic tomography;Unintentional surgical damage to nerves is mainly due to poor visualization of nerve tissue relative to adjacent structures. Multispectral photoacoustic tomography can provide chemical information with specificity and ultrasonic spatial resolution with centimeter imaging depth, making it a potential tool for noninvasive neural imaging. To implement this label-free imaging approach, a multispectral photoacoustic tomography platform was built. Imaging depth and spatial resolution were characterized. In vivo imaging of the femoral nerve that is 2 mm deep in a nude mouse was performed. Through multivariate curve resolution analysis, the femoral nerve was discriminated from the femoral artery and chemical maps of their spatial distributions were generated. [GRAPHICS] The femoral nerve was discriminated from the femoral artery by multivariate curve resolution analysis.;2016;10.1002/jbio.201500004
C;A Minimum Spanning Forest Based Hyperspectral Image Classification Method for Cancerous Tissue Detection;Hyperspectral imaging is a developing modality for cancer detection. The rich information associated with hyperspectral images allow for the examination between cancerous and healthy tissue. This study focuses on a new method that incorporates support vector machines into a minimum spanning forest algorithm for differentiating cancerous tissue from normal tissue. Spectral information was gathered to test the algorithm Animal experiments were performed and hyperspectral images were acquired from tumor-bearing mice. In vivo imaging experimental results demonstrate the applicability of the proposed classification method for cancer tissue classification on hyperspectral images.;2014;10.1117/12.2043848
J;Multispectral optoacoustic tomography (MSOT) for imaging the particle size-dependent intratumoral distribution of polymeric micelles;Purpose: This study proposes the utilization of multispectral optoacoustic tomography (MSOT) to investigate the intratumoral distribution of polymeric micelles and effect of size on the biodistribution and antitumor efficacy (ATE). Materials and methods: Docetaxel and/or optoacoustic agent-loaded polymeric micelles (with diameters of 22, 48, and 124 nm) were prepared using amphiphilic block copolymers poly (ethylene glycol) methyl ether-block-poly (D,L lactide) (PEG(2000)-PDLLAx). Subcutaneous 4T1 tumor-bearing mice were monitored with MSOT imaging and IVIS (R) Spectrum in vivo live imaging after tail vein injection of micelles. The in vivo results and ex vivo confocal imaging results were then compared. Next, ATE of the three micelles was found and compared. Results: We found that MSOT imaging offers spatiotemporal and quantitative information on intratumoral distribution of micelles in living animals. All the polymeric micelles rapidly extravasated into tumor site after intravenous injection, but only the 22-nm micelle preferred to distribute into the inner tumor tissues, leading to a superior ATE than that of 48- and 124-nm micelles. Conclusion: This study demonstrated that MSOT is theranostically a powerful imaging modality, offering quantitative information on size-dependent spatiotemporal distribution patterns after the extravasation of nanomedicine from tumor blood vessels.;2018;10.2147/IJN.S185726
C;Hyperspectral imaging of skin and lung cancers;"The problem of cancer control requires design of new approaches for instrumental diagnostics, as the accuracy of cancer detection on the first step of diagnostics in clinics is slightly more than 50%. In this study, we present a method of visualization and diagnostics of skin and lung tumours based on registration and processing of tissues hyperspectral images. In a series of experiments registration of hyperspectral images of skin and lung tissue samples is carried out. Melanoma, basal cell carcinoma, nevi and benign tumours are studied in skin ex vivo and in vivo experiments; adenocarcinomas and squamous cell carcinomas are studied in ex vivo lung experiments. In a series of experiments the typical features of diffuse reflection spectra for pathological and normal tissues were found. Changes in tissues morphology during the tumour growth lead to the changes of blood and pigments concentration, such as melanin in skin. That is why tumours and normal tissues maybe differentiated with information about spectral response in 500-600 nm and 600 670 nm areas. Thus, hyperspectral imaging in the visible region may be a useful tool for cancer detection as it helps to estimate spectral properties of tissues and determine malignant regions for precise resection of tumours.";2016;10.1117/12.2227602
J;Noninvasive in Vivo Monitoring of the Biofate of 195 kDa Poly(vinyl alcohol) by Multispectral Fluorescence Imaging;A comprehensive knowledge of the in vivo fate of polymers is essential for their potential application in humans. In this study, the body distribution, accumulation, and elimination processes of intraperitoneally (ip) administered poly(vinyl alcohol) (PVA) in mice were investigated in detail. Two derivatives of PVA (195 kDa) having covalently bound fluorescent dye labels were synthesized and used to follow PVA in vivo by noninvasive multispectral fluorescence imaging over several months. Detailed ex vivo fluorescence imaging was performed additionally and combined with tissue accumulation studies using confocal microscopy. Filtration and confocal imaging at appropriate synthetic membranes, used as models for glomerular filtration, confirmed a considerable PVA permeation. This investigation yields new scientific findings about the fate of PVA in vivo. PVA accumulated in fat tissue at high levels, which suggests that PVA is suitable not only for abdominal surgeries but also for controlled release applications after ip or subcutaneous injection.;2011;10.1021/bm200899h
J;Nonlinear multispectral imaging for tumor delineation;Significance: In breast-preserving tumor surgery, the inspection of the excised tissue boundaries for tumor residue is too slow to provide feedback during the surgery. The discovery of positive margins requires a new surgery which is difficult and associated with low success. If the reexcision could be done immediately this is believed to improve the success rate considerably. Aim: Our aim is for a fast microscopic analysis that can be done directly on the excised tissue in or near the operating theatre. Approach: We demonstrate the combination of three nonlinear imaging techniques at selected wavelengths to delineate tumor boundaries. We use hyperspectral coherent anti-Stokes Raman scattering (CARS), second harmonic generation (SHG), and two-photon excited fluorescence (TPF) on excised patient tissue. Results: We show the discriminatory power of each of the signals and demonstrate a sensitivity of 0.87 and a specificity of 0.95 using four CARS wavelengths in combination with SHG and TPF. We verify that the information is independent of sample treatment. Conclusions: Nonlinear multispectral imaging can be used to accurately determine tumor boundaries. This demonstration using microscopy in the epi-direction directly on thick tissue slices brings this technology one step closer to clinical implementation. (C) The Authors.;2020;10.1117/1.JBO.25.9.096001
